k	Re[k]	Im[k]	ABS[k]
151	  -0.00028	  -0.00042	   0.00051
152	  -0.00020	  -0.00006	   0.00021
153	   0.00113	   0.00110	   0.00158
154	  -0.00000	  -0.00018	   0.00018
155	  -0.00074	   0.00092	   0.00118
156	   0.00026	   0.00076	   0.00080
157	  -0.00043	   0.00075	   0.00086
158	   0.00023	  -0.00012	   0.00026
159	   0.00035	   0.00077	   0.00084
160	  -0.00004	   0.00005	   0.00006
161	   0.00009	  -0.00008	   0.00012
162	   0.00026	   0.00074	   0.00079
163	  -0.00012	  -0.00030	   0.00032
164	  -0.00013	   0.00019	   0.00022
165	   0.00056	   0.00081	   0.00098
166	   0.00061	  -0.00061	   0.00087
167	  -0.00007	  -0.00024	   0.00025
168	   0.00037	   0.00076	   0.00084
169	   0.00019	  -0.00027	   0.00033
170	  -0.00006	   0.00008	   0.00010
171	   0.00038	   0.00075	   0.00084
172	   0.00021	  -0.00119	   0.00121
173	  -0.00036	  -0.00013	   0.00039
174	   0.00043	   0.00041	   0.00059
175	  -0.00030	   0.00083	   0.00089
176	  -0.00011	  -0.00013	   0.00017
177	   0.00104	   0.00065	   0.00123
178	   0.00049	   0.00027	   0.00056
179	  -0.00001	  -0.00070	   0.00070
180	   0.00070	   0.00021	   0.00072
181	   0.00073	   0.00043	   0.00085
182	   0.00018	  -0.00003	   0.00019
183	   0.00030	   0.00077	   0.00082
184	   0.00010	   0.00008	   0.00013
185	   0.00030	   0.00058	   0.00065
186	   0.00075	   0.00007	   0.00075
187	   0.00016	   0.00089	   0.00091
188	   0.00070	   0.00001	   0.00070
189	   0.00056	   0.00024	   0.00061
190	   0.00011	   0.00041	   0.00043
191	   0.00040	  -0.00003	   0.00040
192	   0.00009	   0.00022	   0.00024
193	   0.00009	  -0.00039	   0.00040
194	  -0.00092	   0.00104	   0.00139
195	   0.00062	  -0.00023	   0.00067
196	   0.00002	  -0.00035	   0.00035
197	  -0.00007	   0.00011	   0.00013
198	   0.00075	   0.00040	   0.00085
199	  -0.00023	  -0.00025	   0.00034
200	   0.00031	   0.00026	   0.00041
201	   0.00043	   0.00012	   0.00045
202	  -0.00168	   0.00096	   0.00194
203	   0.00049	  -0.00038	   0.00062
204	   0.00088	  -0.00041	   0.00097
205	  -0.00020	   0.00025	   0.00032
206	  -0.00046	   0.00072	   0.00085
207	   0.00075	   0.00009	   0.00075
208	  -0.00032	  -0.00044	   0.00054
209	  -0.00197	  -0.00011	   0.00197
210	   0.00053	   0.00009	   0.00054
211	  -0.00010	   0.00008	   0.00013
212	   0.00027	  -0.00022	   0.00035
213	   0.00056	  -0.00015	   0.00058
214	  -0.00083	  -0.00039	   0.00092
215	  -0.00003	   0.00000	   0.00003
216	   0.00074	   0.00019	   0.00077
217	  -0.00024	   0.00039	   0.00046
218	  -0.00003	   0.00032	   0.00033
219	   0.00066	  -0.00016	   0.00068
220	  -0.00080	   0.00075	   0.00109
221	   0.00029	  -0.00017	   0.00034
222	   0.00058	  -0.00047	   0.00075
223	   0.00045	  -0.00087	   0.00098
224	  -0.00003	   0.00001	   0.00003
225	   0.00033	  -0.00016	   0.00037
226	   0.00075	   0.00192	   0.00206
227	   0.00018	   0.00028	   0.00033
228	   0.00037	  -0.00035	   0.00051
229	   0.00053	   0.00068	   0.00086
230	  -0.00018	  -0.00432	   0.00433
231	   0.00040	  -0.00074	   0.00084
232	   0.00036	  -0.00011	   0.00037
233	   0.00022	  -0.00002	   0.00022
234	   0.00053	  -0.00041	   0.00067
235	  -0.00017	  -0.00014	   0.00022
236	  -0.00032	   0.00039	   0.00051
237	  -0.00017	   0.00013	   0.00022
238	   0.00056	  -0.00041	   0.00070
239	   0.00015	   0.00003	   0.00016
240	   0.00018	  -0.00033	   0.00038
241	  -0.00045	  -0.00131	   0.00138
242	  -0.00018	   0.00003	   0.00018
243	   0.00015	  -0.00007	   0.00016
244	  -0.00086	   0.00153	   0.00175
245	  -0.00004	   0.00007	   0.00008
246	   0.00021	  -0.00007	   0.00022
247	   0.00013	  -0.00140	   0.00140
248	  -0.00023	  -0.00006	   0.00024
249	   0.00010	   0.00022	   0.00024
250	  -0.00003	  -0.00006	   0.00006
251	  -0.00026	  -0.00072	   0.00077
252	   0.00074	  -0.00034	   0.00082
253	   0.00031	  -0.00096	   0.00101
254	  -0.00061	  -0.00049	   0.00078
255	   0.00000	  -0.00031	   0.00031
256	   0.00004	  -0.00005	   0.00006
257	   0.00160	   0.00152	   0.00221
258	   0.00037	  -0.00027	   0.00045
259	   0.00038	  -0.00000	   0.00038
260	   0.00091	   0.00041	   0.00100
261	  -0.00026	  -0.00056	   0.00062
262	   0.00011	   0.00020	   0.00022
263	   0.00023	  -0.00010	   0.00025
264	  -0.00025	  -0.00010	   0.00027
265	   0.00002	  -0.00003	   0.00003
266	  -0.00017	  -0.00076	   0.00078
267	  -0.00017	  -0.00032	   0.00036
268	  -0.00010	  -0.00006	   0.00011
269	  -0.00008	  -0.00037	   0.00038
270	  -0.00008	  -0.00068	   0.00068
271	   0.00020	   0.00016	   0.00026
272	   0.00008	  -0.00004	   0.00009
273	   0.00027	   0.00020	   0.00033
274	   0.00344	   0.00409	   0.00534
275	  -0.00035	  -0.00100	   0.00106
276	  -0.00027	  -0.00012	   0.00029
277	  -0.00016	  -0.00032	   0.00036
278	  -0.00032	   0.00031	   0.00045
279	  -0.00011	  -0.00087	   0.00088
280	   0.00001	  -0.00017	   0.00017
281	  -0.00008	   0.00006	   0.00011
282	   0.00039	  -0.00074	   0.00084
283	  -0.00003	  -0.00002	   0.00003
284	  -0.00015	   0.00029	   0.00033
285	   0.00021	  -0.00026	   0.00033
286	  -0.00114	   0.00152	   0.00190
287	   0.00002	   0.00000	   0.00002
288	   0.00054	   0.00019	   0.00057
289	   0.00018	  -0.00024	   0.00030
290	   0.00006	  -0.00017	   0.00018
291	  -0.00022	   0.00019	   0.00029
292	  -0.00022	   0.00015	   0.00027
293	  -0.00012	   0.00018	   0.00021
294	  -0.00019	   0.00006	   0.00020
295	   0.00028	  -0.00063	   0.00069
296	  -0.00030	   0.00016	   0.00034
297	  -0.00042	   0.00002	   0.00042
298	  -0.00014	   0.00020	   0.00024
299	   0.00032	   0.00015	   0.00035
300	  -0.00015	  -0.00037	   0.00040
301	  -0.00014	  -0.00027	   0.00030
302	   0.00027	   0.00048	   0.00056
303	   0.00027	  -0.00011	   0.00029
304	   0.00004	   0.00023	   0.00023
305	  -0.00128	   0.00435	   0.00453
306	  -0.00058	  -0.00015	   0.00060
307	  -0.00013	   0.00007	   0.00015
308	   0.00051	   0.00028	   0.00058
309	   0.00159	  -0.00092	   0.00184
310	  -0.00036	  -0.00014	   0.00039
311	   0.00008	   0.00008	   0.00011
312	   0.00005	   0.00010	   0.00011
313	  -0.00041	  -0.00117	   0.00124
314	  -0.00007	  -0.00029	   0.00030
315	  -0.00016	   0.00038	   0.00041
316	   0.00078	  -0.00011	   0.00079
317	  -0.00045	   0.00015	   0.00048
318	  -0.00070	   0.00088	   0.00112
319	  -0.00001	   0.00001	   0.00001
320	  -0.00041	  -0.00010	   0.00042
321	  -0.00010	  -0.00019	   0.00021
322	   0.00361	  -0.00550	   0.00658
323	   0.00091	  -0.00065	   0.00112
324	  -0.00015	   0.00005	   0.00015
325	  -0.00370	   0.00106	   0.00385
326	   0.00052	   0.00089	   0.00103
327	  -0.00028	  -0.00015	   0.00031
328	  -0.00016	  -0.00005	   0.00017
329	   0.00012	  -0.00023	   0.00026
330	  -0.00073	   0.00083	   0.00111
331	   0.00078	  -0.00053	   0.00095
332	  -0.00037	   0.00029	   0.00047
333	   0.00028	  -0.00038	   0.00047
334	  -0.00135	  -0.00079	   0.00156
335	  -0.00045	   0.00045	   0.00064
336	   0.00022	   0.00040	   0.00045
337	  -0.00025	   0.00052	   0.00058
338	   0.00003	  -0.00012	   0.00012
339	  -0.00085	  -0.00128	   0.00153
340	   0.00036	  -0.00021	   0.00042
341	   0.00041	  -0.00117	   0.00124
342	   0.00012	   0.00002	   0.00012
343	   0.00028	   0.00015	   0.00032
344	  -0.00001	   0.00012	   0.00012
345	  -0.00007	   0.00086	   0.00087
346	  -0.00001	  -0.00029	   0.00029
347	  -0.00004	   0.00024	   0.00024
348	   0.00181	  -0.00359	   0.00402
349	   0.00010	  -0.00033	   0.00034
350	  -0.00131	   0.00012	   0.00132
351	   0.00026	  -0.00080	   0.00084
352	   0.00004	   0.00147	   0.00148
353	  -0.00085	  -0.00081	   0.00117
354	  -0.00009	   0.00050	   0.00050
355	   0.00387	  -0.00113	   0.00403
356	  -0.00044	   0.00103	   0.00112
357	   0.00002	  -0.00099	   0.00099
358	   0.00077	   0.00025	   0.00081
359	   0.00002	   0.00027	   0.00027
360	   0.00020	  -0.00012	   0.00023
361	  -0.00002	  -0.00031	   0.00031
362	  -0.00056	  -0.00052	   0.00077
363	   0.00022	  -0.00030	   0.00037
364	   0.00141	  -0.00121	   0.00186
365	   0.00511	  -0.00747	   0.00905
366	   0.00043	   0.00005	   0.00043
367	  -0.00082	   0.00122	   0.00147
368	  -0.00058	   0.00114	   0.00128
369	   0.00033	   0.00127	   0.00131
370	  -0.00064	   0.00181	   0.00192
371	  -0.00060	   0.00105	   0.00121
372	   0.00024	  -0.00053	   0.00058
373	   0.00008	  -0.00028	   0.00029
374	  -0.00061	   0.00173	   0.00183
375	   0.00844	  -0.00466	   0.00965
376	  -0.00288	   0.00162	   0.00330
377	   0.00010	  -0.00039	   0.00040
378	  -0.00027	   0.00013	   0.00030
379	  -0.00652	   0.01529	   0.01662
380	   0.00073	  -0.00001	   0.00073
381	  -0.00013	   0.00064	   0.00065
382	   0.00082	   0.00099	   0.00129
383	   0.00463	   0.01035	   0.01134
384	   0.00000	  -0.00039	   0.00039
385	  -0.00026	   0.00045	   0.00052
386	  -0.00065	   0.00095	   0.00115
387	   0.00040	  -0.00054	   0.00067
388	  -0.00066	   0.00027	   0.00071
389	   0.00240	  -0.00495	   0.00550
390	   0.00009	   0.00113	   0.00113
