k	Re[k]	Im[k]	ABS[k]
661	   0.00043	   0.00093	   0.00103
662	   0.00005	  -0.00017	   0.00018
663	  -0.00041	  -0.00046	   0.00061
664	   0.00518	  -0.00058	   0.00521
665	  -0.00037	  -0.00003	   0.00037
666	  -0.00011	   0.00014	   0.00018
667	   0.00078	   0.00004	   0.00078
668	   0.00067	   0.00084	   0.00108
669	  -0.00075	   0.00009	   0.00076
670	   0.00076	  -0.00104	   0.00129
671	   0.00045	  -0.00017	   0.00048
672	   0.00045	   0.00008	   0.00046
673	  -0.00176	   0.00330	   0.00374
674	   0.00054	   0.00062	   0.00082
675	   0.00068	  -0.00004	   0.00068
676	   0.00447	  -0.00228	   0.00501
677	  -0.00037	  -0.00065	   0.00075
678	   0.00038	  -0.00035	   0.00051
679	  -0.00006	  -0.00022	   0.00023
680	  -0.00025	   0.00002	   0.00025
681	   0.00187	   0.00362	   0.00407
682	   0.03249	  -0.00733	   0.03331
683	   0.00241	   0.00047	   0.00245
684	   0.00031	  -0.00020	   0.00037
685	   0.00099	  -0.00008	   0.00100
686	   0.00046	  -0.00021	   0.00051
687	   0.00098	   0.00056	   0.00113
688	  -0.00087	   0.00029	   0.00091
689	  -0.00273	   0.00068	   0.00282
690	   0.00074	   0.00064	   0.00098
691	   0.00184	   0.00046	   0.00190
692	   0.00038	   0.00389	   0.00391
693	  -0.00106	  -0.00064	   0.00124
694	   0.00321	  -0.00371	   0.00491
695	   0.00071	  -0.00009	   0.00072
696	   0.00147	   0.00306	   0.00339
697	  -0.00068	   0.00021	   0.00071
698	  -0.00204	   0.00037	   0.00207
699	   0.00020	  -0.00114	   0.00116
700	   0.00075	  -0.00016	   0.00077
701	   0.00090	  -0.00054	   0.00105
702	   0.00141	  -0.00132	   0.00193
703	  -0.00214	   0.00108	   0.00239
704	   0.00007	   0.00006	   0.00009
705	  -0.00171	  -0.00118	   0.00208
706	   0.00025	  -0.00014	   0.00028
707	   0.00122	   0.00078	   0.00145
708	   0.00266	  -0.00013	   0.00266
709	  -0.00023	  -0.00026	   0.00034
710	   0.00158	   0.00062	   0.00170
711	  -0.00061	  -0.00073	   0.00095
712	   0.00282	   0.00491	   0.00566
713	  -0.00191	  -0.00164	   0.00252
714	  -0.00223	   0.00001	   0.00223
715	   0.00073	   0.00063	   0.00097
716	  -0.00231	  -0.00002	   0.00231
717	  -0.00051	  -0.00047	   0.00069
718	  -0.00019	  -0.00070	   0.00072
719	  -0.00035	   0.00003	   0.00035
720	   0.00015	  -0.00030	   0.00033
721	  -0.00020	  -0.00046	   0.00050
722	   0.00019	  -0.00192	   0.00193
723	   0.00044	  -0.00144	   0.00150
724	  -0.00294	   0.00645	   0.00708
725	   0.00058	   0.00185	   0.00194
726	   0.00129	  -0.00000	   0.00129
727	   0.00250	   0.00028	   0.00251
728	   0.00116	  -0.00131	   0.00175
729	  -0.00071	  -0.00190	   0.00203
730	  -0.00189	  -0.00167	   0.00252
731	  -0.00283	   0.00289	   0.00404
732	  -0.00029	  -0.00110	   0.00114
733	  -0.00051	  -0.00106	   0.00117
734	  -0.00019	  -0.00021	   0.00028
735	  -0.00010	  -0.00100	   0.00101
736	  -0.00077	  -0.00067	   0.00102
737	  -0.00084	  -0.00888	   0.00892
738	  -0.00175	  -0.00175	   0.00248
739	  -0.00118	   0.00471	   0.00485
740	  -0.00073	   0.00022	   0.00076
741	   0.00105	  -0.00033	   0.00110
742	  -0.00053	  -0.00215	   0.00221
743	   0.00074	  -0.00048	   0.00088
744	  -0.00722	   0.01539	   0.01700
745	  -0.00030	  -0.00099	   0.00103
746	   0.00144	  -0.00110	   0.00182
747	  -0.00130	  -0.00328	   0.00353
748	   0.00001	  -0.00009	   0.00009
749	   0.00018	  -0.00204	   0.00205
750	  -0.00068	  -0.00017	   0.00070
751	   0.00093	   0.00584	   0.00591
752	   0.00211	   0.00163	   0.00266
753	   0.00153	  -0.01227	   0.01237
754	  -0.00146	  -0.00040	   0.00152
755	   0.00073	  -0.00116	   0.00137
756	   0.00001	  -0.00141	   0.00141
757	  -0.00240	  -0.00244	   0.00342
758	  -0.00785	  -0.00139	   0.00797
759	   0.00041	  -0.00040	   0.00057
760	   0.00080	  -0.00200	   0.00216
761	  -0.00019	   0.00118	   0.00120
762	   0.00162	  -0.00291	   0.00333
763	   0.00025	   0.00111	   0.00114
764	  -0.00469	  -0.00586	   0.00751
765	  -0.00296	   0.00322	   0.00437
766	  -0.00020	  -0.00153	   0.00154
767	  -0.00317	  -0.00039	   0.00319
768	   0.00003	  -0.00082	   0.00082
769	   0.00009	  -0.00034	   0.00035
770	  -0.00064	   0.00171	   0.00182
771	  -0.00137	   0.00293	   0.00323
772	   0.00008	   0.00421	   0.00421
773	   0.00065	   0.01697	   0.01698
774	   0.00219	   0.00095	   0.00238
775	  -0.00010	  -0.00103	   0.00104
776	  -0.00036	   0.00016	   0.00039
777	  -0.00176	  -0.00019	   0.00177
778	  -0.00285	   0.00121	   0.00309
779	  -0.00784	  -0.00873	   0.01173
780	  -0.00358	  -0.00307	   0.00472
781	  -0.00131	  -0.00062	   0.00145
782	   0.00652	  -0.00216	   0.00687
783	   0.00061	  -0.00131	   0.00144
784	  -0.00111	   0.00119	   0.00163
785	   0.00072	   0.00079	   0.00107
786	  -0.00084	  -0.00146	   0.00169
787	  -0.00012	  -0.00037	   0.00039
788	  -0.01045	   0.00744	   0.01283
789	  -0.00122	   0.00062	   0.00136
790	   0.00099	  -0.00047	   0.00109
791	  -0.00497	   0.00030	   0.00498
792	  -0.00002	  -0.00075	   0.00075
793	   0.00158	  -0.00329	   0.00365
794	   0.00131	   0.00064	   0.00146
795	   0.00098	  -0.00035	   0.00105
796	   0.00062	   0.00127	   0.00141
797	   0.00253	  -0.00055	   0.00259
798	  -0.01321	  -0.00624	   0.01461
799	   0.00150	   0.00085	   0.00172
800	  -0.00158	   0.00086	   0.00180
801	  -0.00394	   0.00127	   0.00414
802	   0.00603	  -0.00114	   0.00614
803	   0.00029	  -0.00043	   0.00052
804	  -0.00132	   0.00179	   0.00223
805	   0.00327	   0.00004	   0.00327
806	   0.00013	   0.00230	   0.00231
807	  -0.00094	  -0.00224	   0.00243
808	  -0.00318	  -0.00063	   0.00324
809	   0.00141	   0.00392	   0.00416
810	   0.00447	   0.00153	   0.00473
811	   0.00168	  -0.00089	   0.00190
812	  -0.00062	   0.00141	   0.00154
813	  -0.00223	  -0.00062	   0.00231
814	  -0.00031	   0.00115	   0.00119
815	  -0.00084	   0.00330	   0.00340
816	  -0.00131	   0.00278	   0.00307
817	  -0.00061	  -0.00046	   0.00077
818	   0.00633	   0.01400	   0.01536
819	  -0.00118	   0.00036	   0.00124
820	  -0.00008	   0.00047	   0.00048
821	  -0.00134	   0.00010	   0.00134
822	  -0.00220	  -0.00137	   0.00259
823	  -0.00471	   0.00096	   0.00481
824	   0.00037	  -0.00065	   0.00075
825	  -0.00096	   0.00293	   0.00308
826	  -0.00078	   0.00133	   0.00155
827	  -0.00018	  -0.00098	   0.00100
828	   0.00189	   0.00001	   0.00189
829	   0.00041	   0.00028	   0.00050
830	   0.00117	   0.00039	   0.00123
831	   0.00099	   0.01629	   0.01632
832	   0.00124	   0.00014	   0.00124
833	   0.00041	  -0.00026	   0.00048
834	  -0.00041	   0.00150	   0.00155
835	  -0.00081	  -0.00016	   0.00082
836	  -0.00155	  -0.00133	   0.00205
837	   0.00022	   0.00110	   0.00112
838	   0.00054	   0.00341	   0.00345
839	  -0.00120	  -0.00012	   0.00120
840	  -0.00099	   0.00100	   0.00141
841	  -0.00424	  -0.00209	   0.00473
842	   0.00000	  -0.00243	   0.00243
843	   0.00202	   0.00385	   0.00434
844	   0.00002	   0.00034	   0.00035
845	  -0.00030	  -0.00061	   0.00068
846	   0.00016	   0.00053	   0.00055
847	  -0.00195	   0.00005	   0.00195
848	  -0.00004	  -0.00083	   0.00083
849	   0.00075	   0.00084	   0.00113
850	  -0.00139	  -0.00074	   0.00158
851	  -0.00080	   0.00038	   0.00088
852	   0.00187	   0.00195	   0.00271
853	   0.00425	  -0.00223	   0.00480
854	  -0.00019	   0.00020	   0.00028
855	  -0.00067	   0.00153	   0.00167
856	   0.00125	   0.00080	   0.00149
857	  -0.00153	   0.00169	   0.00228
858	   0.00237	  -0.00283	   0.00369
859	  -0.00064	   0.00089	   0.00109
860	   0.00004	   0.00110	   0.00110
861	  -0.00152	   0.00037	   0.00156
862	  -0.00038	   0.00015	   0.00041
863	   0.00118	  -0.00008	   0.00119
864	   0.00044	   0.00137	   0.00144
865	  -0.00052	   0.00032	   0.00061
866	  -0.00258	   0.00040	   0.00261
867	  -0.00022	   0.00187	   0.00188
868	  -0.00077	  -0.00236	   0.00248
869	  -0.00107	  -0.00096	   0.00144
870	   0.00123	   0.00066	   0.00140
871	  -0.00028	   0.00137	   0.00140
872	   0.00253	  -0.00289	   0.00384
873	  -0.00021	   0.00130	   0.00132
874	   0.00168	   0.00005	   0.00168
875	   0.00515	  -0.00034	   0.00516
876	   0.00033	  -0.00090	   0.00095
877	   0.00087	  -0.00060	   0.00106
878	  -0.00136	   0.00047	   0.00144
879	  -0.00082	   0.00063	   0.00104
880	  -0.00537	  -0.00500	   0.00734
881	  -0.00190	  -0.00097	   0.00213
882	   0.00274	   0.00556	   0.00620
883	   0.00082	  -0.00012	   0.00083
884	  -0.00021	  -0.00167	   0.00168
885	  -0.00006	  -0.00085	   0.00085
886	   0.00921	  -0.00025	   0.00922
887	  -0.00106	  -0.00033	   0.00111
888	  -0.00114	   0.00124	   0.00168
889	   0.00104	   0.00133	   0.00169
890	   0.00009	   0.00048	   0.00049
891	  -0.00074	  -0.00078	   0.00108
892	   0.00107	   0.00024	   0.00110
893	  -0.00227	   0.00169	   0.00283
894	   0.00058	  -0.00085	   0.00103
895	   0.00036	   0.00086	   0.00093
896	   0.01140	  -0.02106	   0.02395
897	   0.00045	  -0.00377	   0.00379
898	  -0.00187	  -0.00162	   0.00247
899	  -0.00088	   0.00074	   0.00115
900	  -0.00045	   0.00040	   0.00060
901	  -0.00149	   0.00200	   0.00249
902	  -0.00084	  -0.00132	   0.00156
903	  -0.00125	   0.00109	   0.00166
904	  -0.00094	   0.00184	   0.00206
905	   0.00293	   0.00304	   0.00422
906	   0.00451	   0.00481	   0.00659
907	   0.00099	  -0.00071	   0.00121
908	   0.00143	   0.00484	   0.00504
909	   0.00087	  -0.00191	   0.00210
910	  -0.00044	   0.00133	   0.00140
911	   0.00006	  -0.00120	   0.00120
912	  -0.00024	   0.00172	   0.00174
913	  -0.00139	  -0.00313	   0.00342
914	  -0.00091	  -0.00395	   0.00406
915	   0.00980	  -0.00828	   0.01283
916	   0.00053	   0.00188	   0.00195
917	  -0.00176	   0.00125	   0.00216
918	  -0.00310	  -0.00257	   0.00403
919	  -0.00157	  -0.00168	   0.00230
920	   0.00132	   0.00020	   0.00134
921	  -0.00796	  -0.01252	   0.01484
922	  -0.00168	   0.00121	   0.00207
923	  -0.00400	  -0.00224	   0.00458
924	   0.00096	  -0.00117	   0.00151
925	  -0.00155	   0.00032	   0.00158
926	   0.00021	   0.00053	   0.00057
927	   0.00408	   0.00057	   0.00412
928	  -0.00136	   0.00267	   0.00300
929	  -0.00112	   0.00052	   0.00124
930	   0.00147	   0.00051	   0.00156
931	   0.00032	   0.00071	   0.00078
932	   0.00315	   0.00108	   0.00333
933	  -0.00172	  -0.00074	   0.00187
934	   0.00853	   0.01078	   0.01375
935	   0.00144	  -0.00413	   0.00437
936	   0.00416	   0.00063	   0.00421
937	  -0.00396	  -0.00645	   0.00757
938	  -0.00171	   0.00073	   0.00186
939	  -0.00031	   0.00558	   0.00558
940	  -0.00075	   0.00014	   0.00077
941	   0.00136	   0.00037	   0.00141
942	   0.00026	  -0.00016	   0.00030
943	   0.00074	  -0.00361	   0.00368
944	   0.00482	  -0.00099	   0.00492
945	  -0.00408	  -0.00642	   0.00761
946	   0.00019	   0.00034	   0.00039
947	  -0.00150	   0.00060	   0.00162
948	  -0.00160	   0.00323	   0.00361
949	   0.00199	  -0.00176	   0.00266
950	   0.00085	   0.00010	   0.00085
951	   0.01623	   0.01938	   0.02528
952	  -0.00052	  -0.00011	   0.00053
953	   0.00011	  -0.00108	   0.00109
954	   0.00895	  -0.01807	   0.02017
955	  -0.00682	  -0.00794	   0.01047
956	   0.00572	   0.00060	   0.00575
957	  -0.00018	  -0.00778	   0.00779
958	   0.00691	  -0.00290	   0.00749
959	  -0.00553	   0.00079	   0.00559
960	  -0.00035	   0.00002	   0.00035
961	   0.00200	   0.00216	   0.00295
962	  -0.00182	  -0.00095	   0.00205
963	  -0.00010	   0.00091	   0.00091
964	   0.01462	  -0.03109	   0.03436
965	  -0.00071	   0.00110	   0.00131
966	   0.00303	   0.00614	   0.00685
967	  -0.00112	  -0.00061	   0.00127
968	   0.00385	  -0.00043	   0.00387
969	   0.00163	  -0.00185	   0.00247
970	   0.00038	   0.00082	   0.00090
971	  -0.00052	  -0.00338	   0.00342
972	   0.00109	   0.00046	   0.00119
973	  -0.00716	  -0.00045	   0.00718
974	   0.00024	  -0.00166	   0.00168
975	  -0.00090	   0.00210	   0.00229
976	   0.00037	   0.00291	   0.00293
977	  -0.00222	  -0.00022	   0.00223
978	   0.00750	  -0.00271	   0.00798
979	   0.00261	   0.00004	   0.00261
980	  -0.00035	   0.00408	   0.00410
981	  -0.00238	   0.00817	   0.00851
982	   0.00021	  -0.00116	   0.00118
983	   0.02208	  -0.01639	   0.02750
984	  -0.00031	  -0.00017	   0.00036
985	   0.00042	  -0.00268	   0.00272
986	  -0.00060	   0.00111	   0.00126
987	   0.00139	  -0.00112	   0.00178
988	  -0.00300	   0.00288	   0.00416
989	  -0.00123	   0.00130	   0.00179
990	  -0.00225	   0.00034	   0.00228
991	  -0.00082	   0.00026	   0.00086
992	  -0.00010	  -0.00239	   0.00239
993	  -0.00120	   0.00017	   0.00121
994	   0.00104	  -0.00026	   0.00107
995	   0.00057	  -0.00135	   0.00147
996	   0.00072	   0.00169	   0.00184
997	  -0.00020	  -0.00020	   0.00029
998	   0.00028	  -0.00119	   0.00122
999	   0.00116	  -0.00038	   0.00122
1000	  -0.00018	  -0.00054	   0.00057
1001	   0.00051	   0.00036	   0.00063
1002	  -0.00130	  -0.00020	   0.00131
1003	  -0.00030	  -0.00464	   0.00465
1004	   0.00129	   0.00054	   0.00139
1005	   0.00027	   0.00041	   0.00049
1006	  -0.00065	  -0.00029	   0.00071
1007	  -0.00002	  -0.00036	   0.00036
1008	  -0.00020	  -0.00025	   0.00032
1009	  -0.00178	   0.00140	   0.00227
1010	  -0.00101	   0.00033	   0.00106
1011	   0.00139	   0.00205	   0.00247
1012	   0.00061	  -0.00126	   0.00140
1013	  -0.00013	   0.00086	   0.00087
1014	  -0.00751	  -0.00277	   0.00801
1015	   0.00243	   0.00055	   0.00249
1016	  -0.00259	  -0.00137	   0.00293
1017	   0.00044	  -0.00132	   0.00139
1018	   0.00162	   0.00098	   0.00189
1019	   0.00195	  -0.00061	   0.00204
1020	   0.00012	   0.00115	   0.00116
1021	   0.00060	   0.00042	   0.00073
1022	  -0.00028	  -0.00043	   0.00051
1023	  -0.00162	   0.00053	   0.00170
1024	   0.00078	  -0.00179	   0.00196
1025	  -0.00128	  -0.00075	   0.00148
1026	  -0.00084	   0.00089	   0.00122
1027	  -0.00143	   0.00088	   0.00168
1028	  -0.00196	  -0.00162	   0.00254
1029	   0.00069	  -0.00099	   0.00120
1030	  -0.00511	   0.00149	   0.00532
1031	  -0.00104	   0.00165	   0.00195
1032	  -0.00008	   0.00143	   0.00143
1033	   0.00066	   0.00053	   0.00085
1034	  -0.00021	   0.00015	   0.00026
1035	   0.00030	   0.00088	   0.00093
1036	  -0.00073	   0.00040	   0.00083
1037	  -0.00917	  -0.03490	   0.03608
1038	  -0.00071	  -0.00020	   0.00073
1039	  -0.00092	  -0.00319	   0.00332
1040	   0.00073	   0.00065	   0.00098
1041	  -0.00064	  -0.00090	   0.00110
1042	   0.00061	  -0.00150	   0.00161
1043	   0.00033	  -0.00123	   0.00127
1044	  -0.00198	  -0.00148	   0.00247
1045	   0.00743	   0.00433	   0.00860
1046	  -0.00123	   0.00155	   0.00198
1047	  -0.00167	   0.00110	   0.00200
1048	   0.00063	  -0.00022	   0.00066
1049	  -0.00051	  -0.00041	   0.00065
1050	   0.00080	   0.00563	   0.00568
1051	   0.00102	   0.00134	   0.00168
1052	   0.00074	  -0.00106	   0.00129
1053	  -0.00029	  -0.00064	   0.00070
1054	  -0.00008	  -0.00117	   0.00117
1055	  -0.00028	   0.00347	   0.00348
1056	  -0.00008	  -0.00121	   0.00121
1057	  -0.00792	  -0.00280	   0.00840
1058	  -0.00094	   0.00140	   0.00169
1059	  -0.00222	   0.00016	   0.00222
1060	   0.00004	  -0.00026	   0.00026
1061	  -0.00114	  -0.00062	   0.00130
1062	  -0.00165	   0.00108	   0.00197
1063	   0.00158	  -0.00088	   0.00181
1064	   0.00012	  -0.00128	   0.00129
1065	   0.00004	   0.00020	   0.00020
1066	   0.00097	   0.00013	   0.00098
1067	   0.00041	  -0.00071	   0.00082
1068	   0.00004	   0.00044	   0.00044
1069	   0.00365	   0.00203	   0.00417
1070	  -0.00020	   0.00071	   0.00074
1071	   0.00231	  -0.00142	   0.00271
1072	  -0.00063	  -0.00057	   0.00085
1073	   0.00004	   0.00081	   0.00081
1074	   0.00893	  -0.00276	   0.00934
1075	   0.00244	  -0.00438	   0.00502
1076	  -0.00026	  -0.00031	   0.00041
1077	   0.01017	  -0.00221	   0.01040
1078	  -0.00092	   0.00160	   0.00185
1079	  -0.00034	  -0.00109	   0.00114
1080	   0.03562	  -0.04044	   0.05389
1081	   0.00112	   0.00001	   0.00112
1082	   0.00169	   0.00135	   0.00216
1083	  -0.00072	   0.00011	   0.00073
1084	  -0.00052	   0.00012	   0.00054
1085	   0.00079	   0.00148	   0.00168
1086	   0.00153	   0.00071	   0.00169
1087	   0.00743	   0.00236	   0.00780
1088	  -0.00005	   0.00037	   0.00037
1089	  -0.00268	  -0.00348	   0.00439
1090	   0.00050	  -0.00423	   0.00426
1091	   0.00126	  -0.00004	   0.00126
1092	   0.00001	   0.00110	   0.00110
1093	   0.00134	   0.00064	   0.00149
1094	  -0.00425	  -0.00655	   0.00781
1095	   0.00136	   0.00039	   0.00142
1096	  -0.00180	  -0.00043	   0.00185
1097	   0.00037	  -0.00002	   0.00037
1098	  -0.00639	  -0.00379	   0.00742
1099	   0.00873	   0.00691	   0.01113
1100	   0.00056	   0.00200	   0.00208
1101	  -0.00425	   0.00152	   0.00451
1102	  -0.00134	  -0.00222	   0.00259
1103	   0.00012	   0.00054	   0.00055
1104	   0.00038	   0.00087	   0.00095
1105	   0.00040	   0.00011	   0.00041
1106	  -0.00018	  -0.00012	   0.00022
1107	   0.00079	   0.00121	   0.00145
1108	   0.00194	   0.00176	   0.00262
1109	   0.00009	   0.00082	   0.00082
1110	  -0.00151	   0.00210	   0.00259
1111	   0.00084	  -0.00004	   0.00084
1112	   0.00265	   0.00186	   0.00324
1113	  -0.00022	  -0.00302	   0.00303
1114	   0.00041	  -0.00028	   0.00049
1115	  -0.00005	  -0.00096	   0.00096
1116	   0.00042	  -0.00103	   0.00112
1117	   0.00047	   0.00153	   0.00160
1118	   0.00023	  -0.00108	   0.00111
1119	  -0.00046	  -0.00266	   0.00270
1120	   0.00016	   0.00064	   0.00066
1121	  -0.00051	  -0.00049	   0.00071
1122	  -0.00565	  -0.00142	   0.00582
1123	  -0.00211	   0.00278	   0.00349
1124	  -0.00214	   0.00428	   0.00479
1125	   0.00078	  -0.00013	   0.00079
1126	   0.00186	   0.00286	   0.00341
1127	   0.00074	   0.00372	   0.00379
1128	   0.00322	  -0.00111	   0.00341
1129	  -0.04388	   0.07594	   0.08770
1130	  -0.00585	  -0.00088	   0.00591
1131	   0.00016	   0.00063	   0.00065
1132	  -0.00052	   0.00183	   0.00190
1133	  -0.00293	  -0.00407	   0.00502
1134	   0.00025	   0.00043	   0.00050
1135	   0.01905	  -0.00392	   0.01945
1136	  -0.00742	  -0.00052	   0.00744
1137	   0.00212	   0.00059	   0.00220
1138	  -0.00042	  -0.00000	   0.00042
1139	   0.00117	  -0.00441	   0.00456
1140	  -0.02183	   0.01747	   0.02796
1141	  -0.00080	  -0.00117	   0.00142
1142	   0.00011	  -0.00093	   0.00093
1143	  -0.00322	   0.00364	   0.00486
1144	   0.03101	   0.01216	   0.03330
1145	  -0.00047	  -0.00070	   0.00085
1146	   0.00690	   0.00266	   0.00740
1147	  -0.01282	  -0.01420	   0.01913
1148	  -0.00871	   0.00069	   0.00874
1149	   0.00088	   0.00046	   0.00099
1150	   0.00952	   0.00288	   0.00995
1151	   0.00937	  -0.01383	   0.01671
1152	  -0.00007	  -0.00006	   0.00009
1153	   0.02083	  -0.01455	   0.02541
1154	   0.02779	  -0.04389	   0.05195
1155	   0.00157	   0.00026	   0.00159
1156	   0.00001	   0.00106	   0.00106
1157	   0.00012	   0.00016	   0.00020
1158	  -0.00305	   0.03155	   0.03169
1159	  -0.00047	   0.00018	   0.00050
1160	  -0.00281	   0.00237	   0.00368
1161	  -0.00367	   0.00027	   0.00368
1162	   0.00030	   0.00011	   0.00032
1163	  -0.00025	  -0.00035	   0.00043
1164	  -0.00066	   0.00013	   0.00067
1165	  -0.00121	   0.00108	   0.00162
1166	  -0.00072	  -0.00025	   0.00077
1167	  -0.00154	  -0.00150	   0.00215
1168	   0.00096	   0.00074	   0.00121
1169	   0.00095	  -0.00020	   0.00097
1170	  -0.00017	   0.00002	   0.00017
1171	  -0.00470	   0.00342	   0.00581
1172	   0.00004	  -0.00346	   0.00346
1173	  -0.00135	  -0.00112	   0.00175
1174	  -0.00024	  -0.00017	   0.00030
1175	  -0.00455	  -0.00374	   0.00589
1176	  -0.00066	  -0.00159	   0.00172
1177	  -0.00046	   0.00016	   0.00049
1178	   0.03047	  -0.03943	   0.04983
1179	  -0.00119	   0.00017	   0.00121
1180	   0.00099	  -0.00131	   0.00164
1181	  -0.00340	   0.00054	   0.00344
1182	   0.00051	   0.00033	   0.00061
1183	   0.00197	  -0.00015	   0.00197
1184	   0.00020	   0.00064	   0.00067
1185	   0.00009	  -0.00563	   0.00563
1186	   0.01666	   0.00704	   0.01809
1187	   0.00794	   0.00422	   0.00899
1188	  -0.00013	   0.00089	   0.00090
1189	  -0.00453	   0.00140	   0.00475
1190	  -0.00025	  -0.00067	   0.00071
1191	  -0.00209	  -0.00779	   0.00806
1192	   0.00357	   0.00069	   0.00364
1193	   0.00179	  -0.00008	   0.00179
1194	   0.00174	  -0.00221	   0.00281
1195	  -0.00404	  -0.00840	   0.00932
1196	   0.00097	   0.00216	   0.00237
1197	   0.00110	   0.00042	   0.00118
1198	  -0.00004	   0.00253	   0.00253
1199	   0.00220	   0.00064	   0.00229
1200	  -0.00274	   0.00094	   0.00290
1201	  -0.00063	   0.00020	   0.00066
1202	  -0.00001	  -0.00196	   0.00196
1203	   0.00561	  -0.00044	   0.00563
1204	  -0.00042	   0.00069	   0.00081
1205	  -0.01420	   0.00211	   0.01436
1206	  -0.00060	  -0.00036	   0.00070
1207	   0.00118	  -0.00049	   0.00128
1208	   0.00538	  -0.00128	   0.00553
1209	   0.00105	   0.00159	   0.00191
1210	   0.00070	  -0.00258	   0.00267
1211	   0.00151	  -0.00063	   0.00164
1212	  -0.00378	   0.00004	   0.00379
1213	  -0.00032	  -0.00026	   0.00041
1214	  -0.00139	   0.00002	   0.00139
1215	  -0.00071	  -0.00326	   0.00334
1216	   0.00004	  -0.00018	   0.00018
1217	  -0.00045	   0.00029	   0.00054
1218	   0.00246	  -0.00291	   0.00381
1219	  -0.00028	   0.00009	   0.00029
1220	  -0.00074	  -0.00144	   0.00161
1221	  -0.00304	   0.00780	   0.00837
1222	  -0.00038	   0.00348	   0.00350
1223	   0.00019	  -0.00037	   0.00042
1224	  -0.00205	  -0.00436	   0.00482
1225	  -0.00762	   0.00597	   0.00968
1226	  -0.00013	  -0.00038	   0.00040
1227	  -0.00172	   0.00719	   0.00739
1228	  -0.00167	   0.00071	   0.00181
1229	  -0.00228	  -0.00290	   0.00369
1230	  -0.00017	  -0.00036	   0.00040
1231	  -0.00033	  -0.00111	   0.00116
1232	   0.00508	  -0.00540	   0.00742
1233	   0.00184	  -0.00288	   0.00342
1234	   0.00112	  -0.00015	   0.00113
1235	  -0.00009	   0.00152	   0.00152
1236	   0.00770	   0.00011	   0.00770
1237	  -0.00235	  -0.00006	   0.00235
1238	   0.00050	   0.00030	   0.00059
1239	   0.01657	  -0.00100	   0.01660
1240	  -0.00151	  -0.00079	   0.00170
1241	  -0.00617	   0.00316	   0.00694
1242	   0.00055	  -0.00039	   0.00067
1243	   0.00012	  -0.00021	   0.00024
1244	  -0.00112	   0.00042	   0.00119
1245	  -0.00022	  -0.00149	   0.00151
1246	  -0.00040	   0.00009	   0.00041
1247	   0.00000	  -0.00090	   0.00090
1248	   0.00485	  -0.00168	   0.00513
1249	   0.00297	   0.00605	   0.00674
1250	   0.00099	   0.00284	   0.00301
1251	  -0.00060	   0.00070	   0.00092
1252	   0.00120	  -0.00052	   0.00131
1253	  -0.00053	   0.00480	   0.00483
1254	  -0.00156	  -0.00266	   0.00308
1255	  -0.00253	  -0.00964	   0.00997
1256	   0.00070	  -0.00123	   0.00142
1257	  -0.00192	   0.00099	   0.00216
1258	  -0.00238	  -0.00044	   0.00242
1259	  -0.00508	   0.01655	   0.01731
1260	  -0.00102	  -0.00137	   0.00171
1261	   0.00037	  -0.00155	   0.00159
1262	   0.00059	  -0.00026	   0.00065
1263	  -0.00013	   0.00064	   0.00065
1264	  -0.00031	   0.00031	   0.00044
1265	  -0.00184	  -0.00293	   0.00346
1266	   0.00043	   0.00003	   0.00043
1267	  -0.00039	   0.00001	   0.00039
1268	  -0.00037	   0.00216	   0.00219
1269	  -0.03233	  -0.01061	   0.03403
1270	  -0.00015	   0.00002	   0.00015
1271	  -0.00174	  -0.00063	   0.00185
1272	   0.00044	   0.00093	   0.00103
1273	   0.00489	  -0.01173	   0.01271
1274	   0.00089	   0.00092	   0.00128
1275	   0.00107	   0.00011	   0.00108
1276	   0.00190	   0.00014	   0.00191
1277	  -0.00086	  -0.00090	   0.00125
1278	   0.00043	   0.00015	   0.00046
1279	   0.01153	   0.00374	   0.01212
1280	  -0.00286	  -0.00196	   0.00346
1281	   0.00096	   0.00052	   0.00109
1282	  -0.00067	  -0.00200	   0.00211
1283	  -0.00119	  -0.00035	   0.00124
1284	  -0.00033	   0.00088	   0.00094
1285	  -0.00194	   0.00082	   0.00211
1286	  -0.00092	  -0.00151	   0.00177
1287	   0.00620	   0.00238	   0.00664
1288	   0.00032	   0.00207	   0.00210
1289	   0.00188	   0.00073	   0.00201
1290	   0.00081	   0.00037	   0.00089
1291	  -0.00383	  -0.00153	   0.00412
1292	  -0.00022	  -0.00102	   0.00104
1293	  -0.00071	   0.00078	   0.00106
1294	   0.00212	   0.00023	   0.00213
1295	  -0.00047	   0.00056	   0.00073
1296	   0.00075	  -0.00033	   0.00082
1297	  -0.00669	  -0.00191	   0.00696
1298	  -0.00162	   0.00060	   0.00173
1299	  -0.00053	   0.00001	   0.00053
1300	   0.00057	  -0.00264	   0.00270
1301	  -0.01002	  -0.01254	   0.01605
1302	   0.00271	   0.00042	   0.00274
1303	   0.00081	   0.00388	   0.00396
1304	  -0.00079	   0.00007	   0.00079
1305	   0.00322	  -0.00451	   0.00555
1306	   0.00184	   0.00119	   0.00219
1307	   0.00131	   0.00094	   0.00161
1308	  -0.00283	  -0.00009	   0.00283
1309	  -0.00031	  -0.00033	   0.00045
1310	  -0.00178	  -0.00254	   0.00310
